"","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866","d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879"
"Salmo_salar",0.00347982,0.012171772,0.04854273,0.006594943,0.001071298,0.104212254,0,0.004786652,0,0
"Ophiopholis_mirabilis",0.072963906,0.0368578,0.012977573,0.019879481,0.030036653,0.011697832,0.010846742,0.002677518,0.000447288,0.001751879
"Antilope_cervicapra",0.275213157,0.002257298,0.02668183,0.265532494,0.049289094,0.006177566,0.007217638,0.018915583,0,0.000474318
"Caracal_caracal",0.227333995,0.004167849,0.014909667,0.026071226,0.132395715,0.189279465,0,0.057102488,0.157934875,5.91e-05
"Mimachlamys_nobilis",0.05523467,0.262336856,0.00487382,0.009443026,0.012207981,0.002132296,0.003544064,0.000884551,0.001230171,0.004592638
"Nephrurus_amyae",0.378113403,0.099735892,0.000743331,0.055136024,0.156978021,0.040933894,0.000146414,0.004454356,0.009139594,0
"Psittacus_erithacus",0.060090641,0.048612246,0.564026696,0.013941077,0.011877749,0.000605081,0.003569981,0.001083096,0.082309233,0.002432428
"Pieris_canidia",0.01871334,0.519718717,0.087528884,0.00764864,0.007681968,0.000205519,0.029394774,0.001521952,0.000444365,0.095399707
"Lynx_lynx",0.01745831,0.000589693,0.011141793,0.006021671,0.31299649,0.307541831,6.24e-05,0.228233813,0.049670282,0.000209795
"Macropus_fuliginosus",0.118416214,0.000186795,0.009421462,0.401637957,0.08377162,0.000566222,0.000140096,0.020249721,0.000186795,1.17e-05
"Speothos_venaticus",0.000691903,0.297256988,0.365978351,0.009086995,0.090116547,0.062340478,9.23e-05,0.001122421,0.0003152,0
"Mustela_nigripes",0.363130593,0.011555925,0.229099021,0.028919511,0.163347061,0.086626541,0.00016499,0.021125366,0.001346321,0.00137272
"Ramphastos_toco",0.007739394,0.051775761,0.018957605,0.000140716,0.001790223,0.002736149,0.040463738,0.001047554,0.00562865,0.367926077
"Mephitis_mephitis",0.195841744,0.06524021,0.153371013,0.164179018,0.142257339,0.030861065,0.000432551,0.026085703,0,0
"Procavia_capensis",0.395544209,0.022716449,0.004059278,0.074290872,0.081196629,0.002320378,0.071649296,0.007819509,0.009403347,0.000431956
"Lama_guanicoe",0.229161672,3.73e-05,3.2e-05,0.295558787,0.05268513,0.000985516,0.000122524,0.034317251,0.00047944,0.000106542
"Anas_platyrhynchos",0.012028653,0.132114444,0.078516413,0.006323363,0.042345931,0.067708058,0.142817145,0.192273558,0.003333369,0.001664043
"Corucia_zebrata",0.270866671,0.020561061,2.1e-05,0.071436441,0.09285793,0.033304827,0.003263327,0.005650488,0.002282231,0.002476351
"Dumetella_carolinensis",0.000603409,0.179514256,0.731482878,0.003469603,0.011313924,0.002715342,0.006184945,0,0,0
"Goura_victoria",0.000293715,0.00327786,0.020677542,1.76e-05,0.259920227,0.33762549,0.008899567,0.214459006,0,0.000511064
"Phacochoerus_africanus",0.325268719,0.003849611,0.000727322,0.070337218,0.129619143,0.012956719,0.000129879,0.029233143,5.2e-05,0
"Myrmecocichla_formicivora",0.047208152,0.39855171,0.16663493,0.001670267,0.005473251,0.000767126,0.00232858,0.002562526,0.000190421,0.001109884
"Crocidura_denti",0.002943461,0.262361973,0.368000135,0.000635968,0.00037145,0.001480172,0.002099256,0.001170631,0.000123817,0.066630272
"Oryctolagus_cuniculus",0.134582633,0.000257883,0.000107451,0.224299015,0.113903649,0.001359258,0,0.001144355,0,3.76e-05
"Chaetodon_reticulatus",0.230903476,0.000280287,0,0.112416178,0.062482813,0.003691325,0.028271952,0.188336894,0.012417236,0
"Aphis_gossypii",0.02059746,0.858265206,0.022839221,8.23e-05,0.000473032,0,0.010494113,0.000215949,0.002385727,0.008247211
"Corallus_hortulanus",0.180439128,0.13241143,0.000724061,0.012869934,0.074277468,0.013022905,0.271415897,0.008122744,0,7.14e-05
"Grus_carunculatus",0.26537619,0.002050677,0.032365476,0.010072136,0.078422843,0.021081577,0,0.020713905,0.391891542,0
"Anabrus_simplex",0.115654852,0.327208511,0.55215865,0,0,0,0.002193324,0,0,0.000854751
"Mesonauta_festivus",0.045647356,0.033197595,0.001330873,0.146708873,0.037216726,0.025185845,0.002677653,0.05081178,0.161873403,0.01112419
"Lophochroa_leadbeateri",0.022899413,0.068308086,0.005779475,0.00020288,0.000931167,0.001165259,0.007433726,0.000369345,0.001893545,0.053622706
"Setophaga_petechia",0.008870215,0.52334267,0.014939309,0.018207283,0,0.000933707,0.01774043,0,0,0.022875817
"Ophiura_sarsii",0.005527426,0.424112629,0.001947857,0.00016827,0.000586397,0.003258326,0.000163171,0.028065452,0,0.00039773
"Mungos_mungo",0.283308856,0.004205651,0.004852674,0.070705255,0.09816266,0.021906356,0.00075486,0.028356048,0.090270004,0.254254434
"Tupaia_belangeri",0.535995908,0.038718075,0.00100277,0.095997529,0.065210455,0.004279499,0.000734352,0.008812224,0.007399229,4.56e-05
"Vulpes_vulpes",0.076199713,0.002729631,0.00110985,0.064791253,0.063591415,0.062661541,0.000884881,0.032065671,0.665105211,0.000134982
"Chlorurus_spilurus",0.014497367,0.119111866,0,0.011601936,0.014881404,0.005856552,0.002380014,0.0224358,0.020667212,0.000459833
"Dryocopus_pileatus",0.000797096,0.695780171,0.128125282,1.59e-05,0.001009655,0.137711696,0,0.035130697,0,4.78e-05
"Boiga_dendrophila",0.009838761,0.53553595,0.002379275,1.02e-05,0.000765861,0.004171389,0.000260393,0.01145728,0.002088248,0.00089861
"Ailurus_fulgens",0.348312109,0.006194941,0.000851038,0.082404987,0.077061083,0.230324544,6.13e-05,0.027478552,0.000199342,0.000329681
"Osphranter_rufus",0.346078417,0.007222214,0.000913892,0.229376923,0.083915013,0,3.95e-05,0.020846609,9.39e-05,0.000938591
"Ara_chloropterus",0.037445703,0.022073202,0.143572282,0.000808256,0.014480813,0.206391999,0.000636175,0.081279234,0.000396306,0.000980336
"Mischocyttarus_flavitarsis",0.119350864,0.126690662,0.363405238,0.009974722,0.01150892,0.000842591,0.00020943,0.001120208,0.02000789,0.000238653
"Plegadis_chihi",0.152380802,0.015922155,0.306345109,0.016318031,0.022810407,0.005178065,0.12653798,0.006666561,0.000269196,0.004608003
"Ovis_aries",0.32929087,0.000413602,0.000713955,0.291057343,0.07844151,0.000359439,3.45e-05,0.008867815,0,0.000108324
"Axis_axis",0.328218803,0.002413981,0.000781994,0.256119951,0.051179305,0.008864215,0,0.016237299,7.29e-05,1.94e-05
"Hymenolaimus_malacorhynchos",0.223037817,0.116041851,0.168854341,0.010305356,0.065282561,0.015854898,0.187792319,0.007747056,0.003266752,0.045190069
"Dama_dama",0.230336782,0.000470487,0.001430663,0.361564128,0.160387911,0.003571857,9.6e-05,0.014215416,0.000196836,0
"Naso_lituratus",0.255221056,0.003740385,0,0.139490305,0.122312059,0.000211349,0,0.008689882,0.005411516,0
"Rusa_unicolor",0.059344846,0.000513414,0.000652563,0.196306302,0.037152906,0.00790273,0.012456276,0.010508183,0,0.011256712
"Ducula_bicolor",0.082434766,0.090605773,0.016706792,0.000393959,0.002665305,0.002212981,0.023326281,0.007655456,0.00937234,0.048622358
"Astrochelys_radiata",0.360131551,0.092589481,0.000182442,0.085978347,0.147379792,0.086155988,0.003768874,0.03952757,0.003010298,0.000307271
"Coregonus_clupeaformis",0.004736318,0.052813057,0.006283164,0.001446277,0.000330441,0.151021014,0.099347739,0.006623183,0.08473172,0.002408865
"Pongo_abelii",0.409270839,0.004546295,0.00114724,0.184625085,0.043452909,0.011756842,0,0.008338825,3.32e-05,2.37e-05
"Trichoplusia_ni",0.01446224,0.031001876,0.030028681,0,0,0,0.079619518,0,0.002011894,0.019145741
"Morelia_viridis",0.406853026,0.085937427,0.001852421,0.0253521,0.042633602,0.069907937,0.049368408,0.022894617,0.002210804,9.31e-06
"Aporrectodea_caliginosa",0.001447454,0.109349408,0.000685636,0.000228545,0.003023464,0.009575096,0.010484516,0.087628081,0,0.001333181
"Chilo_suppressalis",0.000202418,0.482118212,0.326486392,0.000124211,5.06e-05,0,6.44e-05,5.98e-05,0,0.002879856
"Callorhinus_ursinus",0.021436569,0.066653397,0.047376409,0.002552683,0.003119946,0.00098027,0.053422238,0.000626975,9.45e-05,0.035578335
"Brachylophus_vitiensis",0.212740407,0.011571187,0.00439854,0.110554635,0.092806874,0.011468787,0.001121744,0.009020499,0.008722608,2.79e-05
"Potos_flavus",0.025758447,0.259379191,0.041374465,0.004969023,0.002937983,0.050744076,0.172842818,0.282442358,0.001162419,0.0292968
"Rhinecanthus_aculeatus",0.003214363,0.010931773,0,0.002278474,0.009986084,0.012563454,0.00344466,0.026783089,0.000416495,0
"Chaetodon_ornatissimus",0.202744675,0.001322568,0,0.115570363,0.051999521,0.008935402,0.037792278,0.197242422,0.01146994,0
"Eremophila_alpestris",0.011678348,0.025047084,0.190164871,0.001165519,0,0.141498657,0.021511933,0,0,0.002624348
"Pseudopus_apodus",0.295454342,0.011908281,0.000237359,0.177697165,0.15492409,0.013135384,0,0.035411348,0.003587263,0.000120919
"Felis_margarita",0.228303902,0.261205731,0.021573604,0.063049997,0.068763107,0.014704153,0.007609313,0.003322031,0.001808008,0.004316681
"Todiramphus_cinnamominus",0.000394697,0.031930067,0.072364054,0.086546224,0.007113511,0.011482086,0.029736809,0.007203215,0.000399182,0.216150272
"Ursus_arctos",0.001748349,0.015070437,0.103426318,8.94e-05,0.059432708,0.191374437,0.004228436,0.495503446,0.001301487,0.00107247
"Bufo_bufo",0.193164867,0.035232877,0,0.145052838,0.063069762,0.000197107,0.074985777,0.012305749,0.000273262,4.93e-05
"Anolis_barbatus",0.048464411,0.075795161,0.0333248,0.004091667,0.002136318,0.016750678,0.127945162,0.002317287,0.002211354,0.208944288
"Marmota_marmota",0.15098448,9.27e-06,0.004123234,0.259198517,0.084757934,0.004614315,0,0.000843178,4.63e-05,2.78e-05
"Porites_lobata",0.000246971,0.029806282,5.15e-05,0,1.03e-05,1.03e-05,0.883615034,0.000149211,5.66e-05,7.2e-05
"Ctenochaetus_striatus",0.021507838,0.031101295,0,0.01060353,0.029386414,0.021162168,0.000300778,0.023119467,0.010078292,0.000134677
"Anolis_allisoni",0.365997587,0.087554421,0.000428374,0.056742084,0.06708863,0,0.07046754,0.004952529,0.001215184,0.012864337
"Bos_frontalis",0.127454379,3.95e-05,0.00019306,0.166044342,0.028704439,0.00309334,0.026146401,0.015506189,3.95e-05,0.007187079
"Vicugna_vicugna",0.3691309,0.000837191,0.04829406,0.240720773,0.065033488,0.000688162,4.82e-05,0.01357476,0,0
"Chlorocebus_pygerythrus",0.09331657,0.048879478,0.006930475,0.2281057,0.207203988,0.010865537,3.97e-05,0.005783483,3.53e-05,7.94e-05
"Duttaphrynus_melanostictus",0.016124833,0.046886119,0.000507698,0.009294777,0.006235572,0.000815788,0.201430233,0.000260358,0.000407894,0.072592123
"Sapajus_apella",0.23654669,0.056651692,0.031303021,0.002235549,0.040624033,0.022168749,0.000309455,0.060706626,0.121221175,0.21454334
"Callithrix_geoffroyi",0.436283771,0.001253812,0.003607907,0.066558628,0.116109772,0.009070943,0.000238821,0.02101627,0.04419046,0.003108941
"Cercocebus_chrysogaster",0.305757585,0.029439482,0.011876795,0.220631535,0.134752477,0.002736984,0.000121744,0.021354784,0,0
"Tragulus_javanicus",0.136381604,0.000779757,0.000146204,0.556210166,0.041078014,0.000308654,0.001342914,0.00353598,0.000444028,0.023896292
"Choloepus_didactylus",0.363850001,0.006805425,0.006438509,0.156258327,0.168436456,0.010199402,0.002389324,0.004564614,0,0.000541638
"Spiza_americana",0.158281718,0.01030969,0.004595405,0.002997003,0,0.456543457,0.018021978,0,0,0.021178821
"Pheucticus_chrysogaster",0.195558988,0.045316452,0.474366148,0.022801574,0.016073468,0.008716481,0.055979691,0.003264634,0.001858899,0.005812529
"Shinisaurus_crocodilurus",0.101666916,0.237037406,0.001166343,0.001734987,0.064734107,0.316676628,0.025057695,0.050219156,0.000298849,0.032342149
"Geochelone_platynota",0.246028699,0.000632877,4.64e-05,0.102724323,0.072401092,0.033968601,0.000324877,0.004679068,0,0.129355774
"Dascyllus_flavicaudus",0.00512513,0.046579148,0.002014677,0.002709244,0.016156239,0.034102822,0.007855944,0.136165385,0.006962929,0.001833485
"Aneides_aeneus",0.31904058,6.62e-05,0.003660137,0.149928992,0.204607467,3.73e-05,0.002480116,0.016313281,0.000492711,0
"Anthornis_melanura",0.112711546,0.321605867,0.239418014,0.012814968,0.061484581,0.000155134,0.143714742,0.003784317,0.000446596,0.066030463
"Graphiurus_murinus",0.076580621,0.257196791,0.264380009,0.002702059,0.043174481,0.068386741,0.059988223,0.007379504,0.188095904,0.002752175
"Crocidura_luna",0.001456435,0.746937079,0.076288651,0.000155297,0.000193072,0.001175221,0.006186701,0.082487943,2.52e-05,0.032150697
"Tapirus_terrestris",0.444032202,0.001338817,0.00209573,0.197471124,0.024453098,0.000844417,0,0.003653308,0.002384494,0.014845117
"Zebrasoma_scopas",0.251445916,0.064553307,0,0.176549558,0.126531405,0.006374697,0,0.031877707,0.018001131,0
"Contopus_virens",0.000927333,0.984686812,0.00195838,0.000164724,0.00111646,0.000152522,0.000597885,0,0,0.000237934
"Cervus_nippon",0.226541789,8.93e-05,0.00015427,0.306697358,0.08094316,0.000239525,7.71e-05,0.028466919,0,0.000239525
"Notamacropus_rufogriseus",0.374019328,0.00568769,0.002339558,0.159342113,0.088928019,7.44e-05,0.024412424,0.003922687,1.65e-05,0.052408588
"Ceratotherium_simum",0.317509337,0.000116461,0.001497932,0.161925224,0.16175254,0.000590338,0,0.02417172,9.24e-05,8.43e-05
"Tockus_deckeni",0.111722841,0.00276484,0.257033664,0.161027813,0.183865873,0.013494669,0.000687191,0.002350918,0.008125736,0.000188877
"Gymnocypris_przewalskii",0,0.415666607,0.000908494,0,0.053502919,0.169065786,0.000558601,0.000699786,0.207695188,0.000939186
"Panaqolus_albomaculatus",0.000929426,0.013281935,0.005368539,0.010918538,0.004894975,0.027227745,0.0005311,0.005850956,0,0.035092456
"Strix_woodfordii",0.051752218,0.029885592,0.477323053,0.022428234,0.029279858,0.100255131,0.002471077,0.043416344,0.014184625,0.005126683
"Solenopsis_invicta",0.020271016,0.025943433,0.035377767,0.000681478,0.00311983,0.00043331,0.00700386,0.001165997,0.001032065,0.080359253
"Temnothorax_nylanderi",0.020271016,0.025943433,0.035377767,0.000681478,0.00311983,0.00043331,0.00700386,0.001165997,0.001032065,0.080359253
"Dacelo_novaeguineae",0.000566184,0.42910864,0.014754597,0.000274642,0.001073215,0.005112561,0.010977217,0.003333728,0.008606848,0.004022445
"Equus_grevyi",0.435056408,0.000236596,0.004140428,0.111665359,0.04630181,0.003024484,0,0.015201284,0,0.000130128
"Rallus_limicola",0.020892246,0.282508334,0.039552974,0.010249623,0.011604796,0.011812589,0.004788277,0.14943941,0.236062049,0.005235484
"Echinops_telfairi",0.531541956,0.080188716,0.014305129,0.094272512,0.128889838,0.004162622,0.000291228,0.004182037,0.003603464,0.000240749
"Ninox_novaeseelandiae",0.207838346,0.013033099,0.023590593,0.056762101,0.266666131,0.000120565,0.057521662,0.148295208,0.003086469,0.022694391
"Uroplatus_fimbriatus",0.395644951,0.098970294,0.007260997,0.034221563,0.099446615,0.031940642,8.52e-05,0.005739092,0.014188956,0.000453086
"Fukomys_damarensis",0.218810604,0.166901736,0.052986713,0.068304938,0.052169314,0.028048018,0.001222092,0.01522206,0.00491241,0.00201545
"Troglodytes_aedon",0.127062922,0.41411497,0.23916305,0.006182474,0.015546807,0.000130899,0.040427739,0.000251729,0.000281937,0.002769023
"Antidorcas_marsupialis",0.363851714,0.001471558,0.005428614,0.161436205,0.050566864,0.130896888,3.14e-05,0.008012813,0,0.018363071
"Spheniscus_mendiculus",0.000242256,0.163318609,0.000287679,0,0.000189263,0.146337955,0,0.040070709,0.348163962,0.000503439
"Tragelaphus_eurycerus",0.367420877,0.00071315,0.000488145,0.276168212,0.09452095,0.001639863,0.000278395,0.008862888,4.58e-05,0.000263141
"Procyon_lotor",0.01869237,0.005552925,0.215421902,0.001221086,0.022411344,0.374074899,0,0.141000641,0.133715909,7.89e-05
"Lethenteron_camtschaticum",0.000662259,0.000997109,0.165988905,0.00180819,0.000900375,0.000301365,0.103822128,0.00548038,0.000193469,0.001101285
"Sturnira_lilium",2.65e-05,0.006931699,0.980179435,0,0,0.004785451,0,0.000106175,0,0
"Eulemur_rufus",0.372584537,0.002653948,0.000445418,0.169685609,0.210793957,0.009561635,4.08e-05,0.006369474,0,3.71e-05
"Capra_hircus",0.12395699,0.002498005,0.054180617,0.157374335,0.028130523,0.002993878,0.001260188,0.018496424,5.59e-05,0.28606635
"Octodon_degus",0.364872083,0.080150296,0.000618864,0.06732728,0.12400862,0.01048754,0.083347761,0.003068536,0.023752602,0.004991435
"Littorina_arcana",0.001787362,0.398896816,0.002593141,0,0,2.93e-05,0.019206821,7.33e-06,0,0.00271767
"Dendrobates_tinctorius",0.474325378,0.0030474,0.002550017,0.109398315,0.145710998,2.6e-05,0.038120337,0.00885639,0.000371181,0.000601314
"Cynictis_penicillata",0.202658493,0.003352623,0.037048512,0.022361884,0.182358343,0.185050769,1.48e-05,0.067509802,0.155279182,0
"Pocillopora_elegans",0.000664143,0.177298296,2.4e-05,0,2.4e-05,1.6e-05,0.694510014,1.2e-05,0.000332072,0.000336073
"Dinemellia_dinemelli",0.000880784,0.025579271,0.045351217,8.77e-05,0.000438564,0.000511659,0.033254148,7.31e-05,0,0.03575762
"Uroplatus_lineatus",0.000932088,0.003757253,0.191088808,0.001257235,0.016344049,0.051774218,0.005971864,0.172526536,8.31e-05,0.016546362
"Hippopotamus_amphibius",0.057474172,0.008011807,0.000460328,0.00070279,0.059656336,0.04733994,0.000354909,0.026758732,0.000238949,0.003011455
"Phalacrocoracidae",8.71e-05,0.010566324,0.092835942,0,0.00015677,0,0.823744792,8.01e-05,0.000153287,0.066846895
"Felis_catus",0.260298858,0.024224025,0.001250452,0.056516937,0.182145636,0.064964432,4.17e-05,0.188832078,0.014897741,9.73e-05
"Chrysolophus_pictus",0.14871732,0.005110524,0.231329638,0.024286709,0.019067988,0.007685622,0.005633478,0.00441806,0.000779021,0.003628219
"Archaeopsylla_erinacei",0.008458978,0.028328499,0.189049073,0.000119805,0.000588135,0.00706488,0.010197969,0.004418273,0.032877468,0.171227133
"Heloderma_horridum",0.454909245,0.213933168,0.001084375,0.022782366,0.053470174,0.051105538,0.000195887,0.050755739,0.061421091,0.000262349
"Capra_ibex",0.299029351,0.000122522,0.000435635,0.334023089,0.0907448,0.001599597,4.08e-05,0.012878458,3.74e-05,1.7e-05
"Corvus_corax",0.016807522,0.018271556,0.183585152,0.001256828,0.011797196,0.000332889,0.007004266,0.121674502,0.000122286,0.004871056
"Chinchilla_lanigera",0.390644417,0.086298,0.04243042,0.049864749,0.06307653,0.152645058,0.000637537,0.013103724,7.2e-05,0.000392607
"Halichoeres_trimaculatus",0.002010799,0.01655394,0.000267169,0.001866669,0.014455256,0.012919034,0.006201136,0.012637803,0.002622476,0.001110861
"Rhyticeros_undulatus",0.005117976,0.042122068,0.16192651,6.64e-05,5.31e-05,0.000109529,0.223853351,9.96e-06,0,0.02698056
"Hypogeomys_antimena",0.325775545,0.045662328,0.005514694,0.129631844,0.15323872,0.002767313,0.010660634,0.002813823,0.000980021,0.025085212
"Icterus_spurius",0.110672625,0.0109628,0.271678951,0.001358018,0.000191515,0.000406245,0.023248796,0.00011607,0,4.64e-05
"Bos_taurus",0.295131341,0.000593621,0.000507893,0.233064829,0.05690832,0.008420678,0.000283062,0.027384187,4.21e-05,0.000900945
"Panthera_onca",0.214212617,0.008957639,0.002305769,0.022159044,0.130159197,0.070385105,0.000377366,0.085946644,0.232530845,0.001439107
"Dasypus_novemcinctus",0.025570244,0.132749492,0.181379241,0.123379175,0.091045919,0.039199494,0.009370317,0.031234391,5.99e-05,0.072671573
"Crax_alberti",0.008197167,0.145844989,0.005083266,0.003069142,0.002906094,0.022414328,0.172230019,0.008564824,0.000131078,0.156817172
"Xanthocephalus_xanthocephalus",0.052582055,0.12772227,0.030469611,0.007663831,0.003342867,0.082742141,0.018596244,0.002030482,0,0.000668573
"Psarocolius_decumanus",0.287900943,0.223052561,0.057274259,0.000542453,0.000869272,0.014157682,0.01643531,0.000202156,2.02e-05,0.000569407
"Equus_przewalskii",0.276269758,0.009042499,0.097323986,0.087637761,0.183188972,0.035243167,6.4e-05,0.032769371,0.075986654,0.00137171
"Tachycineta_bicolor",0.031231546,0.269728583,0.01269383,0.000782976,0.001146032,5.69e-05,0.003792402,0.001119787,0,0.01162216
"Ixodes_ricinus",0.001118817,0.045716481,0.001361452,0.000522339,0.000353843,0,0.086239899,0.000138167,0,0.003491248
"Vipera_ursinii",0.214420771,0.42026263,0.018167466,0.071302257,0.02750514,0.037791267,0.073407211,0.013030522,0.00781097,0.018216419
"Sceloporus_undulatus",0.28010661,0.08778029,0.026106431,0.042409454,0.166241482,0.017064962,0.000191256,0.005540252,0.010531414,0.001298689
"Rhinoceros_unicornis",0.506752199,0.016169419,0.001732112,0.119959402,0.062717654,0.00453388,3.34e-05,0.018567027,0.000340345,0.013203557
"Lophuromys_aquilus",0.392201735,0.005394909,0.198955985,0.123143159,0.103901943,0.028538692,0.000262252,0.00487977,0.000109272,0.002497643
"Pheucticus_melanocephalus",0.010057345,0.002426114,0.025672695,0.002779003,0.001985002,0.581164535,0.002690781,0,0,0
"Popillia_japonica",0.557931537,0.018797799,0.006109668,0.010046941,0.339215242,0,0.000477988,0,0,0.000278826
"Lemur_catta",0.223228989,0.000201957,0.003879913,0.137109678,0.062505826,0.000784527,0.053336181,0.003852726,3.5e-05,0.230716949
"Eudyptula_minor",0.002275661,0.21198491,0.049477843,0.000611584,0.002350331,0.210868413,0.285200738,0.001376064,0.005529144,0.098507664
"Littorina_obtusata",0.001535373,0.284486831,0.000593481,0,0,8.86e-06,0.008831345,0,0,0.001071808
"Charadrius_obscurus",0.00613594,0.031966665,0.090555223,0.061436759,0.095745279,0.000386793,0.377126481,0.008941946,5.63e-05,0.22423081
"Spermophilus_citellus",0.153543421,0.00023983,0.003062893,0.326088338,0.162818787,0.001060455,7.22e-05,0.002097793,0.000156034,0
"Stegastes_nigricans",0.005199359,0.112731548,2.09e-05,0.004478389,0.019834147,0.005477575,0.002231715,0.009363632,0.033347095,2.39e-05
"Platalea_ajaja",0.074008673,0.011886314,0.24522205,0.03060771,0.128082694,0.159741492,0.044241835,0.163741636,0.031340469,0.010204572
"Stegophiura_sladeni",0.006244001,0.175606423,0.007760262,0.001805847,0.004483707,0.004103015,0.00075813,0.003543365,0.001493484,0.00087852
"Myiarchus_crinitus",0.003021279,0.261780202,0.126091963,0.000167161,8.67e-05,0.003897326,0.001504448,0,6.19e-06,0.000752224
"Basiliscus_plumifrons",0.385503834,0.118613778,0.030051923,0.031346978,0.107163557,0.012316609,0.010946085,0.012838858,0.031875264,0.061954356
"Myrmecophaga_tridactyla",0.046545472,0.01233121,0.090529273,0.048698588,0.054069448,0.04854948,0.001568613,0.026919911,0.006736688,0.072066753
"Ips_acuminatus",0.008530368,0.324621806,0.033208203,0.059519274,0.232933662,0.000397804,0.005686912,0.000941282,0.00017649,0.007009189
"Coendou_prehensilis",0.340587733,0.027900167,0.01296519,0.162000247,0.125088514,0.007533523,0.093793906,0.003658578,0.000946959,0.004633636
"Connochaetes_taurinus",0.322729159,0.000165967,0.001815677,0.231377691,0.056777256,0.007329096,0,0.014744494,0,0.043450119
"Melopsittacus_undulatus",0.030879991,0.006464419,0.502016999,0.000219935,0.000540094,0.00052339,0.000339646,0.000161471,0.001628633,0.001224955
"Mergellus_albellus",0.091805757,0.090405822,0.089803116,0.026672109,0.219997066,0.041452743,0.003590722,0.010274693,0.004190238,0.008176385
"Hippotragus_niger",0.33275456,0.000554619,0.001493848,0.248798094,0.053145859,0.044946419,0,0.009735093,0.000353953,0.000189518
"Alisterus_scapularis",0.362894127,0.018237664,0.308752512,0.000797608,0.008118197,0.00710886,0.004469504,0.00251754,0.000142119,0.004182365
"Littorina_aleutica",0.001506913,0.313315432,0.001100242,0,0,0.000103061,0.006442682,2.51e-05,0,0.013927111
"Panthera_tigris",0.280529564,0.00407748,0.003673213,0.048217608,0.124511733,0.06055714,0,0.082125216,0.181457237,2.68e-05
"Himantopus_himantopus",0.250689355,0.00161313,0.046269538,0.032191075,0.009289402,0.000924437,0.271601766,0.000132441,0.231890699,0.022093784
"Trimeresurus_flavomaculatus",0.012697552,0.649741026,0.002779749,0.000526186,0.038238819,0.000706896,0.011472443,0.001310149,0.001158672,0.001666255
"Laticauda_laticaudata",0.036228434,0.167753981,0.000148935,0.002172855,0.043587418,0.014143504,0.000811164,0.006553139,0.00113297,0.012784472
"Zenaida_graysoni",0.052228738,0.04587178,0.459054062,0.004079182,0.058405556,0.015856368,0.016536899,0.005852565,0.007946198,0.046087949
"Cinnyricinclus_leucogaster",0.120958907,0.080491603,0.011555266,4.24e-05,0.000591557,0.00074011,0.011406713,0.000676445,0.003042674,0.456756621
"Hylomyscus_denniae",0.292325281,0.011220487,0.014629375,0.082940874,0.247275512,0.000270089,0.001646755,0.000516578,0.002142355,0.000624089
"Choloepus_hoffmanni",0.389888767,0.003695338,0.035367765,0.126205508,0.045666292,0.001997983,9.05e-05,0.00710601,0.000268703,0.004368427
"Pongo_pygmaeus",0.270984716,0.009367431,0.001414641,0.195974797,0.065441514,0.012475988,0.000135722,0.01460317,1.57e-05,0.000506348
"Bellamya_jeffreysi",0.015061767,0.032017116,0.001562723,0.01624417,0.012986379,0.002458382,0.039626871,0.001987827,0.003415533,0.04058536
"Azumapecten_farreri",0.043230884,0.033615687,0.000197249,0,0.000977911,0.000663979,0.171690036,0.000525071,9.72e-05,0.000300041
